Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011,Annual no. of under-5 deaths (thousands) 2011,GNI per capita (US$) 2011,Life expectancy at birth (years) 2011,Total adult literacy rate (%) 2007_2011*,Primary school net enrolment ratio (%) 2008_2011*,Low birthweight (%) 2007_2011,Early initiation of breastfeeding (%),Exclusive breastfeeding <6 months (%),Introduction of solid semi-solid or soft foods 6_8 months (%),Breastfeeding at age 2 (%),Underweight (%)_ 2007_2011 moderate & severe ,Underweight (%)_ 2007_2011 severe,Stunting (%)_ 2007_2011*,Wasting (%)_ 2007_2011*,Overweight (%)_ 2007_2011*,Vitamin A supplementation full coverage_ (%) 2011,Iodized salt consumption (%) 2007_2011,Use of improved drinking water sources (%) 2010 total,Use of improved drinking water sources (%) 2010 urban,Use of improved drinking water sources (%) 2010 rural,Use of improved sanitation facilities (%) 2010 total,Use of improved sanitation facilities (%) 2010 urban,Use of improved sanitation facilities (%) 2010 rural,Immunization: BCG,Immunization: DPT1_,Immunization: DPT3_,Immunization: polio3,Immunization: MCV,Immunization: HepB3,Immunization: Hib3,Newborns protected against tetanus
Afghanistan,192,101.1,103.3,98.7,129.4,72.7,36.2,32358.26,1407.678,128.424,410,48.673,_,_,_,_,_,29,54,32.9,12.2,59.3,8.6,4.6,100,28,50,78,42,37,60,30,68,86,66,66,62,66,66,60
Albania,41.2,14.3,15,13.6,35.7,12.8,7.2,3215.988,41.007,0.582,3980,76.918,95.93863978,79.89253,6.9,42.9,38.6,78.3,31,5.2,1.7,19.3,9.1,23.4,_,75.6,95,96,94,94,95,93,99,99,99,99,99,99,99,87
Algeria,65.6,29.8,31.6,28,53.5,25.6,16.6,35980.193,712.254,21.081,4470,73.131,72.64867917,97.28475,5.8,49.5,6.9,39,22.2,3.181549914,0.9,14.9,3.8,12.9,_,60.7,83,85,79,95,98,88,99,99,95,95,95,95,95,90
Andorra,8.3,3.3,3.6,3,6.8,2.8,0.9,86.165,_,0.003,41750,_,_,78.89855,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,99,99,99,99,99,_
Angola,243.2,157.6,164.8,150.2,143.7,96.4,43.3,19618.432,803.274,119.921,4060,51.093,70.14008,85.65122,12.4,54.9,11.3,77.2,37,15.6,6.6,29.2,8.2,_,55,44.7,51,60,38,58,85,19,88,99,86,85,88,86,86,70
Antigua and Barbuda,26.8,7.6,8.6,6.6,22.7,6.4,4.1,89.612,_,0.011,12060,_,98.95,87.8326,5.3,_,_,_,_,_,_,_,_,_,_,_,_,95,_,_,98,_,_,99,99,99,99,99,99,_
Argentina,27.6,14.1,15.5,12.7,24.4,12.6,7.5,40764.561,693.484,9.98,9740,75.901,97.79871,_,7.14,_,_,_,28,2.3,0.4,8.2,1.2,9.9,_,_,_,98,_,_,_,_,99,98,93,95,93,93,93,_
Armenia,47.2,17.5,19.3,15.4,40.4,15.6,11.1,3100.236,47.148,0.782,3360,74.241,99.55152,_,7.4,35.7,34.6,48.4,22.8,4.7,1.2,19.3,4,16.8,_,97,98,99,97,90,95,80,96,98,95,96,97,95,95,_
Australia,9.1,4.5,5,4,7.5,4.1,2.6,22605.732,307.143,1.408,46200,81.907,_,97.19656,6.6,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,92,92,92,94,92,92,_
Austria,9.4,4.2,4.6,3.8,7.9,3.5,2.5,8413.429,73.582,0.31,48300,80.854,_,_,6.7,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,93,83,83,76,83,83,_
Azerbaijan,94.5,44.7,46.5,42.6,75.4,38.5,19.2,9306.023,183.787,8.429,5290,70.739,99.75984067,84.72605,9.7,31.9,11.8,83.3,16.2,7.7,1.8,25.1,6.8,13.9,_,53.8,80,88,71,82,86,78,82,79,74,80,67,48,38,_
Bahamas,21.9,16.2,17.3,15,17.9,14.1,7.3,347.176,5.325,0.094,21970,75.62,_,97.79013,10.5,_,_,_,_,_,_,_,_,_,_,_,_,98,_,100,100,100,_,99,98,97,90,95,98,92
Bahrain,20.5,10,10.4,9.6,17.5,8.6,3.9,1323.535,23.405,0.232,15920,75.057,91.92275,_,_,_,_,_,_,_,_,_,_,_,_,_,_,100,_,_,100,_,_,99,99,99,99,99,99,94
Bangladesh,138.8,46,48,43.9,96.5,36.7,26.4,150493.658,3016.199,133.62,770,68.944,56.77985,_,21.6,35.6,63.5,71.1,89.6,36.4,10.4,41.3,15.6,1.5,94,84.3,81,85,80,56,57,55,95,99,96,96,96,96,96,94
Barbados,17.9,19.7,21.6,17.7,15.7,17.7,10,273.925,2.975,0.065,12660,76.835,_,95.05876,11.8,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,93,91,91,93,91,91,_
Belarus,17.2,5.6,6.4,4.7,13.9,3.9,2.6,9559.441,106.75,0.607,5830,70.349,99.6170606,92.01131,3.8,21.1,9,38.3,3.6,1.3,0.5,4.4,2.2,9.7,_,94,100,100,99,93,91,97,99,99,98,98,99,98,21,_
Belgium,10,4.3,4.7,3.8,8.5,3.5,2.3,10754.056,122.628,0.531,46160,80.009,_,99.03902,_,_,_,_,_,_,_,_,_,_,_,_,100,100,100,100,100,100,_,99,98,98,95,97,98,_
Belize,43.9,16.9,18.8,14.9,35.2,14.5,8.3,317.928,7.727,0.13,3690,76.072,_,97.25941,13.5,50.6,10.2,_,26.8,4.3,0.7,21.6,1.8,13.7,_,_,98,98,99,90,93,87,98,98,95,95,98,95,95,88
Benin,177.3,106,109.4,102.5,106.8,67.9,30.8,9099.922,355.733,36.301,780,56.081,42.35942,93.80164,14.9,31.9,43,76.3,92.1,18.4,4.9,43.1,8.4,11.4,98,86,75,84,68,13,25,5,97,94,85,85,72,85,85,92
Bhutan,138.4,53.7,57,50.3,96.3,42,24.7,738.267,14.832,0.768,2070,67.185,52.81469107,89.90232,9.9,59,48.7,66.7,65.7,12.7,3.2,33.5,5.9,7.6,_,96.2,96,100,94,44,73,29,95,98,95,95,95,95,_,89
Bolivia (Plurinational State of),119.5,50.6,53.6,47.5,82.7,39.3,22,10088.108,264.14,12.854,2040,66.618,91.16782546,_,6.3,63.8,60.4,82.6,39.8,4.3,0.8,27.1,1.4,8.5,21,88.8,88,96,71,27,35,10,90,90,82,82,84,82,82,74
Bosnia and Herzegovina,18.8,7.7,8.6,6.7,16.5,6.7,5,3752.228,31.558,0.266,4780,75.67,97.88287,87.06523,4.5,56.7,17.6,29,9.6,1.4,0.4,10.4,4,25.6,_,62,99,100,98,95,99,92,94,94,88,89,89,88,85,_
